category,severity,record_id,message
missing_coordinates,high,R-012,Site missing latitude/longitude
receiver_date_consistency,high,RX-10,Retrieval date earlier than deployment date
month_underrepresentation,low,monthly_coverage,At least one month has sparse sampling effort
duplicate_survey,medium,S-1004,Duplicate site/date/method survey event
duplicate_survey,medium,S-1005,Duplicate site/date/method survey event
method_coverage_gap,medium,R-002,Missing required methods: vertical_line
method_coverage_gap,medium,R-003,Missing required methods: camera
method_coverage_gap,medium,R-004,Missing required methods: vertical_line
method_coverage_gap,medium,R-005,"Missing required methods: camera, vertical_line"
method_coverage_gap,medium,R-006,Missing required methods: vertical_line
method_coverage_gap,medium,R-007,Missing required methods: camera
method_coverage_gap,medium,R-008,Missing required methods: vertical_line
method_coverage_gap,medium,R-009,"Missing required methods: camera, vertical_line"
method_coverage_gap,medium,R-010,Missing required methods: vertical_line
receiver_uptime_low,medium,RX-06,Low uptime: 69%
receiver_uptime_low,medium,RX-08,Low uptime: 58%
species_count_outlier,medium,S-1005,Suspicious species count: 160
